Student Number,Student Name,Module(s),Qualification,Year,Week,Day,Assessment(s),Marks Obtained,Attendance Rate,Canvas Activity Score,Reason for AR,Intervention,Risk Level,Resolved?,NQF Level
24336825,Student_0228,Module5,Programme3,Year1,Week12,Fri,Test2,93.0,0.77,0.59,Canvas Activity_007,Mentorship,Medium,Yes,7
23075766,Student_0229,Module4,Programme2,Year1,Week1,Tue,,,1.0,1.0,None,None,Low,Yes,6
23408923,Student_0230,Module2,Programme1,Year3,Week10,Fri,Test2,51.1,0.88,0.84,None,None,Low,Yes,5
24463768,Student_0231,Module1,Programme1,Year2,Week6,Wed,Test2,53.9,0.61,0.9,Class Attendance_007,Tutoring,Medium,No,5
23568550,Student_0232,Module4,Programme2,Year1,Week2,Tue,Test1,40.1,0.74,1.0,Assessment Failure_007,Tutoring,High,Yes,6
23387261,Student_0233,Module4,Programme2,Year1,Week3,Mon,,,0.97,0.58,Canvas Activity_007,Escalation,High,Yes,6
23810208,Student_0234,Module3,Programme2,Year1,Week8,Mon,Test1,57.8,1.0,0.77,None,None,Low,Yes,6
23685440,Student_0235,Module5,Programme3,Year1,Week10,Thu,,,0.58,0.68,Class Attendance_007,Tutoring,Medium,Yes,7
24701240,Student_0236,Module4,Programme2,Year1,Week6,Wed,Test1,61.1,0.54,0.5,Canvas Activity_007,Tutoring,High,No,6
23984346,Student_0237,Module1,Programme1,Year2,Week3,Wed,,,1.0,0.84,None,None,Low,No,5
24503165,Student_0238,Module2,Programme1,Year3,Week7,Mon,Test1,62.8,0.88,1.0,None,None,Low,Yes,5
23137848,Student_0239,Module2,Programme1,Year3,Week4,Fri,,,0.69,0.45,Canvas Activity_007,Email Reminder,Medium,Yes,5
23617075,Student_0240,Module4,Programme2,Year1,Week9,Tue,,,0.9,0.77,None,None,Low,Yes,6
23127948,Student_0241,Module1,Programme1,Year2,Week5,Fri,Assignment2,51.7,0.42,0.9,Class Attendance_007,Mentorship,Medium,No,5
24627880,Student_0242,Module3,Programme2,Year1,Week3,Fri,,,0.82,0.8,None,None,Low,Yes,6
23402690,Student_0243,Module4,Programme2,Year1,Week2,Mon,,,0.87,0.76,None,None,Low,Yes,6
23499046,Student_0244,Module5,Programme3,Year1,Week11,Mon,,,0.96,0.55,Canvas Activity_007,Email Reminder,Medium,Yes,7
23451269,Student_0245,Module2,Programme1,Year3,Week2,Mon,,,0.67,0.82,Class Attendance_007,Counselling,High,No,5
23021959,Student_0246,Module4,Programme2,Year1,Week3,Thu,Assignment1,63.8,0.83,0.64,None,None,Low,Yes,6
24709466,Student_0247,Module1,Programme1,Year2,Week2,Fri,Assignment1,68.1,0.68,0.39,Canvas Activity_007,Counselling,High,No,5
24798792,Student_0248,Module4,Programme2,Year1,Week4,Wed,Test1,44.1,0.86,1.0,Assessment Failure_007,Escalation,High,No,6
24954109,Student_0249,Module1,Programme1,Year2,Week2,Tue,Test2,62.4,0.69,0.95,Class Attendance_007,Counselling,High,No,5
24838756,Student_0250,Module3,Programme2,Year1,Week10,Thu,Assignment1,35.6,0.76,0.79,Assessment Failure_007,Tutoring,High,Yes,6
23228576,Student_0251,Module4,Programme2,Year1,Week9,Wed,Assignment2,30.2,0.67,0.82,Assessment Failure_007,Tutoring,High,Yes,6
24015602,Student_0252,Module1,Programme1,Year2,Week2,Fri,Assignment1,68.6,0.92,0.97,None,None,Low,Yes,5
24586409,Student_0253,Module2,Programme1,Year3,Week9,Mon,,,0.95,0.82,None,None,Low,Yes,5
23914091,Student_0254,Module4,Programme2,Year1,Week6,Fri,Assignment2,65.6,0.78,0.94,None,None,Low,Yes,6
23165838,Student_0255,Module4,Programme2,Year1,Week1,Tue,Assignment2,61.7,0.83,0.73,None,None,Low,Yes,6
24384250,Student_0256,Module4,Programme2,Year1,Week4,Thu,,,0.6,1.0,Class Attendance_007,Email Reminder,Medium,Yes,6
24928565,Student_0257,Module4,Programme2,Year1,Week1,Thu,Test1,61.2,0.78,0.84,None,None,Low,No,6
23061087,Student_0258,Module3,Programme2,Year1,Week6,Tue,Assignment1,39.8,0.81,0.81,Assessment Failure_007,Tutoring,High,No,6
24013343,Student_0259,Module2,Programme1,Year3,Week4,Wed,Test1,87.0,1.0,0.55,Canvas Activity_007,Mentorship,Medium,No,5
24641704,Student_0260,Module2,Programme1,Year3,Week3,Wed,,,0.65,0.83,Class Attendance_007,Tutoring,High,No,5
23118451,Student_0261,Module1,Programme1,Year2,Week3,Thu,,,1.0,0.63,None,None,Low,Yes,5
24496176,Student_0262,Module5,Programme3,Year1,Week9,Thu,Test1,43.2,0.97,0.67,Assessment Failure_007,Tutoring,High,Yes,7
24886013,Student_0263,Module3,Programme2,Year1,Week6,Mon,,,0.86,0.63,None,None,Low,Yes,6
23439792,Student_0264,Module3,Programme2,Year1,Week9,Wed,,,1.0,0.59,Canvas Activity_007,Tutoring,Medium,Yes,6
23039353,Student_0265,Module3,Programme2,Year1,Week5,Tue,,,0.88,1.0,None,None,Low,Yes,6
23193075,Student_0266,Module5,Programme3,Year1,Week2,Wed,,,0.88,1.0,None,None,Low,No,7
24262859,Student_0267,Module1,Programme1,Year2,Week8,Mon,,,0.81,1.0,None,None,Low,Yes,5
24363453,Student_0268,Module3,Programme2,Year1,Week5,Thu,Test1,71.3,1.0,0.56,Canvas Activity_007,Tutoring,Medium,Yes,6
23065318,Student_0269,Module3,Programme2,Year1,Week2,Thu,Test1,44.3,0.98,0.79,Assessment Failure_007,Escalation,High,Yes,6
23765313,Student_0270,Module4,Programme2,Year1,Week4,Mon,,,0.73,0.55,Canvas Activity_007,Email Reminder,Medium,No,6
24531266,Student_0271,Module1,Programme1,Year2,Week9,Tue,,,0.62,0.65,Class Attendance_007,Email Reminder,Medium,No,5
23416880,Student_0272,Module5,Programme3,Year1,Week4,Thu,,,0.79,0.61,None,None,Low,Yes,7
23591460,Student_0273,Module5,Programme3,Year1,Week12,Fri,,,0.7,1.0,Class Attendance_007,Email Reminder,Medium,Yes,7
23740976,Student_0274,Module3,Programme2,Year1,Week12,Thu,,,0.81,0.71,None,None,Low,Yes,6
23781239,Student_0275,Module4,Programme2,Year1,Week12,Fri,Test2,65.7,1.0,0.97,None,None,Low,Yes,6
24141840,Student_0276,Module5,Programme3,Year1,Week4,Mon,,,0.75,0.89,None,None,Low,No,7
23770746,Student_0277,Module4,Programme2,Year1,Week2,Mon,,,0.81,1.0,None,None,Low,No,6
23813168,Student_0278,Module1,Programme1,Year2,Week12,Thu,,,0.83,0.51,Canvas Activity_007,Email Reminder,Medium,Yes,5
23225281,Student_0279,Module3,Programme2,Year1,Week6,Wed,,,0.95,1.0,None,None,Low,Yes,6
24020545,Student_0280,Module4,Programme2,Year1,Week11,Fri,,,0.48,0.99,Class Attendance_007,Mentorship,Medium,Yes,6
24685723,Student_0281,Module3,Programme2,Year1,Week2,Tue,Assignment1,67.5,0.73,0.6,None,None,Low,Yes,6
23898613,Student_0282,Module4,Programme2,Year1,Week12,Thu,,,0.85,0.96,None,None,Low,Yes,6
24442646,Student_0283,Module5,Programme3,Year1,Week7,Tue,Test2,70.1,1.0,0.84,None,None,Low,Yes,7
24400804,Student_0284,Module5,Programme3,Year1,Week3,Thu,,,0.75,0.74,None,None,Low,Yes,7
24480415,Student_0285,Module3,Programme2,Year1,Week3,Wed,,,0.54,0.63,Class Attendance_007,Tutoring,High,No,6
23269536,Student_0286,Module1,Programme1,Year2,Week5,Wed,Test1,74.6,0.91,0.65,None,None,Low,Yes,5
23317824,Student_0287,Module5,Programme3,Year1,Week3,Wed,,,0.72,1.0,None,None,Low,No,7
24306002,Student_0288,Module4,Programme2,Year1,Week2,Wed,Test1,49.7,0.64,0.78,Assessment Failure_007,Counselling,High,No,6
23177789,Student_0289,Module1,Programme1,Year2,Week10,Mon,Test2,70.2,0.73,0.92,None,None,Low,No,5
24561729,Student_0290,Module5,Programme3,Year1,Week9,Mon,Test2,99.8,0.79,0.64,None,None,Low,Yes,7
23742452,Student_0291,Module5,Programme3,Year1,Week2,Fri,,,0.73,0.64,None,None,Low,Yes,7
23837291,Student_0292,Module3,Programme2,Year1,Week11,Tue,,,0.49,0.97,Class Attendance_007,Email Reminder,Medium,Yes,6
23125657,Student_0293,Module3,Programme2,Year1,Week2,Thu,,,0.95,0.54,Canvas Activity_007,Counselling,High,No,6
24283743,Student_0294,Module3,Programme2,Year1,Week8,Thu,Test1,97.0,1.0,0.71,None,None,Low,Yes,6
23681669,Student_0295,Module1,Programme1,Year2,Week9,Mon,,,0.92,0.79,None,None,Low,Yes,5
24529247,Student_0296,Module2,Programme1,Year3,Week7,Thu,,,0.65,0.8,Class Attendance_007,Email Reminder,Medium,Yes,5
24767670,Student_0297,Module4,Programme2,Year1,Week3,Mon,Test2,32.7,0.79,0.75,Assessment Failure_007,Counselling,High,Yes,6
24119043,Student_0298,Module1,Programme1,Year2,Week9,Fri,Assignment2,16.9,0.82,0.85,Assessment Failure_007,Counselling,High,No,5
24232310,Student_0299,Module2,Programme1,Year3,Week3,Tue,Assignment1,67.4,0.91,0.9,None,None,Low,Yes,5
24671370,Student_0300,Module3,Programme2,Year1,Week5,Fri,,,0.92,0.91,None,None,Low,No,6
23109751,Student_0301,Module3,Programme2,Year1,Week9,Wed,,,0.71,0.6,None,None,Low,Yes,6
24429626,Student_0302,Module5,Programme3,Year1,Week12,Wed,,,0.83,0.73,None,None,Low,Yes,7
24978768,Student_0303,Module2,Programme1,Year3,Week3,Wed,Test1,100.0,0.89,1.0,None,None,Low,Yes,5
23811774,Student_0304,Module2,Programme1,Year3,Week7,Fri,,,1.0,0.94,None,None,Low,Yes,5
24741093,Student_0305,Module4,Programme2,Year1,Week12,Thu,Test2,71.2,0.93,0.53,Canvas Activity_007,Tutoring,Medium,Yes,6
23461079,Student_0306,Module3,Programme2,Year1,Week1,Tue,Assignment1,50.3,0.94,0.84,None,None,Low,Yes,6
23368452,Student_0307,Module2,Programme1,Year3,Week4,Wed,,,0.83,0.42,Canvas Activity_007,Tutoring,Medium,Yes,5
23106081,Student_0308,Module3,Programme2,Year1,Week4,Wed,Test1,57.7,1.0,0.79,None,None,Low,Yes,6
23983237,Student_0309,Module1,Programme1,Year2,Week7,Wed,,,0.88,1.0,None,None,Low,Yes,5
24661909,Student_0310,Module1,Programme1,Year2,Week8,Tue,Test2,94.7,0.69,0.61,Class Attendance_007,Tutoring,Medium,Yes,5
23558986,Student_0311,Module3,Programme2,Year1,Week1,Wed,,,1.0,0.63,None,None,Low,Yes,6
23110078,Student_0312,Module3,Programme2,Year1,Week5,Tue,Test2,64.5,0.92,0.92,None,None,Low,Yes,6
24915631,Student_0313,Module5,Programme3,Year1,Week7,Wed,,,0.75,0.5,Canvas Activity_007,Mentorship,Medium,Yes,7
23022671,Student_0314,Module3,Programme2,Year1,Week12,Fri,Test2,55.5,0.75,0.67,None,None,Low,No,6
24466976,Student_0315,Module3,Programme2,Year1,Week4,Fri,Assignment1,100.0,0.86,0.89,None,None,Low,No,6
24404104,Student_0316,Module4,Programme2,Year1,Week4,Tue,,,0.89,0.67,None,None,Low,Yes,6
24659066,Student_0317,Module1,Programme1,Year2,Week4,Fri,Test2,81.9,0.85,0.74,None,None,Low,Yes,5
23051663,Student_0318,Module4,Programme2,Year1,Week12,Tue,,,0.87,0.91,None,None,Low,Yes,6
24064284,Student_0319,Module1,Programme1,Year2,Week6,Fri,,,1.0,0.86,None,None,Low,Yes,5
24926914,Student_0320,Module5,Programme3,Year1,Week7,Fri,Assignment1,46.8,0.98,0.83,Assessment Failure_007,Escalation,High,No,7
23311955,Student_0321,Module1,Programme1,Year2,Week2,Tue,Assignment1,18.2,0.85,0.72,Assessment Failure_007,Counselling,High,No,5
24182459,Student_0322,Module3,Programme2,Year1,Week5,Thu,,,0.96,0.85,None,None,Low,No,6
24366970,Student_0323,Module1,Programme1,Year2,Week4,Fri,,,0.67,0.76,Class Attendance_007,Mentorship,Medium,Yes,5
23112547,Student_0324,Module5,Programme3,Year1,Week3,Wed,,,0.88,0.86,None,None,Low,No,7
23910681,Student_0325,Module3,Programme2,Year1,Week7,Thu,,,1.0,0.69,None,None,Low,Yes,6
24607618,Student_0326,Module3,Programme2,Year1,Week11,Tue,,,0.79,0.75,None,None,Low,Yes,6
24799678,Student_0327,Module1,Programme1,Year2,Week12,Thu,Test2,62.6,0.69,0.6,Class Attendance_007,Tutoring,Medium,Yes,5
24810578,Student_0328,Module4,Programme2,Year1,Week6,Mon,,,0.72,0.77,None,None,Low,No,6
23142483,Student_0329,Module2,Programme1,Year3,Week7,Mon,,,0.66,0.63,Class Attendance_007,Tutoring,Medium,No,5
23658271,Student_0330,Module5,Programme3,Year1,Week5,Fri,Assignment2,83.5,0.7,0.58,Canvas Activity_007,Email Reminder,Medium,No,7
23214835,Student_0331,Module2,Programme1,Year3,Week6,Fri,Assignment2,51.3,0.76,0.83,None,None,Low,Yes,5
23401896,Student_0332,Module1,Programme1,Year2,Week5,Wed,Test1,31.9,0.61,0.82,Assessment Failure_007,Escalation,High,No,5
23084896,Student_0333,Module1,Programme1,Year2,Week7,Thu,Assignment2,60.0,0.82,0.92,None,None,Low,Yes,5
23477095,Student_0334,Module3,Programme2,Year1,Week2,Mon,,,0.96,0.7,None,None,Low,Yes,6
23071295,Student_0335,Module3,Programme2,Year1,Week11,Fri,Assignment1,64.9,0.68,0.85,Class Attendance_007,Email Reminder,Medium,Yes,6
23743974,Student_0336,Module1,Programme1,Year2,Week5,Thu,Test1,86.5,1.0,0.88,None,None,Low,Yes,5
23887121,Student_0337,Module4,Programme2,Year1,Week6,Fri,Test1,57.7,0.9,0.86,None,None,Low,Yes,6
24321831,Student_0338,Module3,Programme2,Year1,Week6,Fri,,,0.97,0.63,None,None,Low,Yes,6
24348224,Student_0339,Module3,Programme2,Year1,Week5,Mon,,,0.72,0.81,None,None,Low,Yes,6
24705738,Student_0340,Module3,Programme2,Year1,Week10,Mon,Test2,76.8,0.95,0.85,None,None,Low,Yes,6
24056731,Student_0341,Module3,Programme2,Year1,Week7,Fri,Test2,65.3,0.66,0.78,Class Attendance_007,Mentorship,Medium,Yes,6
24515448,Student_0342,Module3,Programme2,Year1,Week10,Tue,,,0.95,0.4,Canvas Activity_007,Mentorship,Medium,Yes,6
23825816,Student_0343,Module1,Programme1,Year2,Week8,Fri,,,0.85,0.81,None,None,Low,Yes,5
23374705,Student_0344,Module1,Programme1,Year2,Week7,Fri,Assignment1,88.0,0.9,1.0,None,None,Low,No,5
24620118,Student_0345,Module5,Programme3,Year1,Week5,Wed,Assignment1,39.9,0.64,0.72,Assessment Failure_007,Counselling,High,Yes,7
24856926,Student_0346,Module5,Programme3,Year1,Week1,Wed,Test2,51.4,0.69,0.65,Class Attendance_007,Escalation,High,No,7
24658845,Student_0347,Module3,Programme2,Year1,Week5,Wed,Assignment1,68.5,0.91,0.85,None,None,Low,No,6
23554594,Student_0348,Module2,Programme1,Year3,Week10,Tue,,,0.68,0.84,Class Attendance_007,Email Reminder,Medium,No,5
23147718,Student_0349,Module4,Programme2,Year1,Week2,Tue,,,0.89,0.99,None,None,Low,No,6
24357563,Student_0350,Module3,Programme2,Year1,Week5,Fri,,,0.61,0.55,Canvas Activity_007,Tutoring,Medium,No,6
23645263,Student_0351,Module1,Programme1,Year2,Week5,Wed,,,0.95,0.91,None,None,Low,Yes,5
24407321,Student_0352,Module1,Programme1,Year2,Week2,Tue,Test1,52.2,0.64,0.89,Class Attendance_007,Escalation,High,Yes,5
24008239,Student_0353,Module4,Programme2,Year1,Week5,Mon,,,0.9,0.75,None,None,Low,Yes,6
23107512,Student_0354,Module4,Programme2,Year1,Week4,Fri,,,0.91,0.84,None,None,Low,Yes,6
23147443,Student_0355,Module1,Programme1,Year2,Week1,Thu,Test2,45.4,0.72,0.97,Assessment Failure_007,Escalation,High,No,5
24519163,Student_0356,Module2,Programme1,Year3,Week3,Fri,Test2,51.8,0.91,0.94,None,None,Low,Yes,5
23373616,Student_0357,Module2,Programme1,Year3,Week1,Thu,,,0.86,0.57,Canvas Activity_007,Counselling,High,No,5
23657409,Student_0358,Module4,Programme2,Year1,Week12,Wed,Test1,53.5,0.74,0.93,None,None,Low,Yes,6
23686976,Student_0359,Module1,Programme1,Year2,Week11,Thu,Test2,73.0,0.67,0.77,Class Attendance_007,Email Reminder,Medium,No,5
24414447,Student_0360,Module1,Programme1,Year2,Week5,Wed,,,0.53,0.79,Class Attendance_007,Mentorship,Medium,Yes,5
23375037,Student_0361,Module4,Programme2,Year1,Week4,Mon,,,0.87,0.79,None,None,Low,Yes,6
24044107,Student_0362,Module1,Programme1,Year2,Week7,Thu,,,0.59,0.75,Class Attendance_007,Mentorship,Medium,Yes,5
23807364,Student_0363,Module4,Programme2,Year1,Week5,Fri,,,0.83,0.99,None,None,Low,Yes,6
23117796,Student_0364,Module2,Programme1,Year3,Week10,Wed,Test2,52.7,0.78,0.76,None,None,Low,Yes,5
24340575,Student_0365,Module1,Programme1,Year2,Week4,Fri,,,0.92,0.58,Canvas Activity_007,Email Reminder,Medium,No,5
24241082,Student_0366,Module2,Programme1,Year3,Week2,Tue,,,0.77,0.71,None,None,Low,Yes,5
23990198,Student_0367,Module4,Programme2,Year1,Week4,Wed,,,0.77,0.81,None,None,Low,Yes,6
23698376,Student_0368,Module5,Programme3,Year1,Week12,Thu,Test2,84.1,0.93,1.0,None,None,Low,Yes,7
23269544,Student_0369,Module4,Programme2,Year1,Week2,Wed,,,0.87,0.89,None,None,Low,Yes,6
23380002,Student_0370,Module3,Programme2,Year1,Week8,Fri,,,0.87,0.63,None,None,Low,Yes,6
23698002,Student_0371,Module4,Programme2,Year1,Week3,Mon,Test2,51.8,0.89,1.0,None,None,Low,Yes,6
24588015,Student_0372,Module2,Programme1,Year3,Week9,Wed,Assignment1,51.2,0.59,0.83,Class Attendance_007,Email Reminder,Medium,No,5
23590978,Student_0373,Module2,Programme1,Year3,Week4,Thu,Test2,50.2,0.93,1.0,None,None,Low,No,5
24577363,Student_0374,Module5,Programme3,Year1,Week6,Tue,Assignment1,49.4,0.91,0.75,Assessment Failure_007,Escalation,High,Yes,7
24579159,Student_0375,Module1,Programme1,Year2,Week10,Mon,,,0.67,0.88,Class Attendance_007,Email Reminder,Medium,Yes,5
23907317,Student_0376,Module1,Programme1,Year2,Week5,Tue,Test2,55.0,0.78,0.93,None,None,Low,Yes,5
23388215,Student_0377,Module2,Programme1,Year3,Week10,Wed,Test2,50.6,0.81,1.0,None,None,Low,Yes,5
23321184,Student_0378,Module1,Programme1,Year2,Week1,Fri,,,0.8,0.97,None,None,Low,Yes,5
24847191,Student_0379,Module1,Programme1,Year2,Week9,Fri,Assignment1,68.5,0.87,0.94,None,None,Low,Yes,5
24471091,Student_0380,Module3,Programme2,Year1,Week1,Thu,,,1.0,0.72,None,None,Low,Yes,6
23668234,Student_0381,Module3,Programme2,Year1,Week8,Fri,Test2,84.9,0.98,0.68,None,None,Low,Yes,6
23378480,Student_0382,Module5,Programme3,Year1,Week9,Mon,,,0.62,0.84,Class Attendance_007,Mentorship,Medium,Yes,7
23032711,Student_0383,Module4,Programme2,Year1,Week9,Fri,,,0.91,0.95,None,None,Low,No,6
23791971,Student_0384,Module2,Programme1,Year3,Week1,Thu,,,1.0,0.74,None,None,Low,No,5
23501157,Student_0385,Module2,Programme1,Year3,Week2,Wed,Test2,47.3,0.88,0.97,Assessment Failure_007,Tutoring,High,No,5
23184423,Student_0386,Module3,Programme2,Year1,Week12,Wed,,,0.98,1.0,None,None,Low,Yes,6
23516349,Student_0387,Module3,Programme2,Year1,Week1,Fri,Assignment2,18.7,1.0,0.62,Assessment Failure_007,Tutoring,High,No,6
24752290,Student_0388,Module2,Programme1,Year3,Week10,Tue,Test1,87.1,0.97,0.63,None,None,Low,Yes,5
23912495,Student_0389,Module4,Programme2,Year1,Week2,Wed,Assignment1,74.1,0.86,0.75,None,None,Low,No,6
24706493,Student_0390,Module3,Programme2,Year1,Week10,Fri,,,0.98,0.84,None,None,Low,Yes,6
23824792,Student_0391,Module3,Programme2,Year1,Week12,Thu,,,0.84,0.69,None,None,Low,Yes,6
24785954,Student_0392,Module3,Programme2,Year1,Week8,Fri,,,0.82,1.0,None,None,Low,Yes,6
23133272,Student_0393,Module2,Programme1,Year3,Week5,Wed,Assignment1,48.7,0.77,0.86,Assessment Failure_007,Counselling,High,No,5
23767836,Student_0394,Module5,Programme3,Year1,Week12,Thu,Assignment2,47.0,1.0,0.79,Assessment Failure_007,Tutoring,High,No,7
23986001,Student_0395,Module4,Programme2,Year1,Week11,Fri,,,0.7,0.52,Canvas Activity_007,Tutoring,Medium,Yes,6
23702335,Student_0396,Module1,Programme1,Year2,Week7,Mon,Assignment2,55.7,1.0,0.54,Canvas Activity_007,Email Reminder,Medium,Yes,5
23807789,Student_0397,Module5,Programme3,Year1,Week2,Thu,,,0.89,0.83,None,None,Low,Yes,7
24691985,Student_0398,Module3,Programme2,Year1,Week8,Mon,Test1,74.9,0.61,0.4,Canvas Activity_007,Mentorship,Medium,No,6
24126081,Student_0399,Module5,Programme3,Year1,Week11,Tue,,,0.88,0.96,None,None,Low,Yes,7
23002869,Student_0400,Module4,Programme2,Year1,Week6,Thu,,,0.5,0.75,Class Attendance_007,Mentorship,Medium,Yes,6
23781474,Student_0401,Module3,Programme2,Year1,Week8,Mon,Test1,70.1,0.91,1.0,None,None,Low,Yes,6
23454351,Student_0402,Module1,Programme1,Year2,Week1,Wed,Assignment2,80.1,0.95,1.0,None,None,Low,No,5
24360828,Student_0403,Module2,Programme1,Year3,Week1,Wed,,,0.73,0.75,None,None,Low,Yes,5
23636584,Student_0404,Module3,Programme2,Year1,Week12,Tue,,,0.84,0.76,None,None,Low,Yes,6
23618467,Student_0405,Module4,Programme2,Year1,Week7,Thu,Test1,62.7,1.0,0.96,None,None,Low,Yes,6
24138848,Student_0406,Module2,Programme1,Year3,Week8,Thu,Assignment1,81.7,0.74,1.0,None,None,Low,Yes,5
23038467,Student_0407,Module1,Programme1,Year2,Week3,Thu,,,0.66,0.49,Canvas Activity_007,Tutoring,High,No,5
24858336,Student_0408,Module4,Programme2,Year1,Week5,Tue,,,1.0,0.46,Canvas Activity_007,Mentorship,Medium,Yes,6
24036685,Student_0409,Module5,Programme3,Year1,Week12,Thu,Assignment1,59.3,1.0,0.67,None,None,Low,Yes,7
23877844,Student_0410,Module3,Programme2,Year1,Week1,Wed,,,0.82,0.88,None,None,Low,No,6
23480047,Student_0411,Module1,Programme1,Year2,Week7,Mon,Test1,45.9,0.97,0.87,Assessment Failure_007,Tutoring,High,Yes,5
24707923,Student_0412,Module2,Programme1,Year3,Week5,Wed,,,1.0,0.97,None,None,Low,Yes,5
24107447,Student_0413,Module1,Programme1,Year2,Week8,Wed,Assignment2,58.8,0.71,0.56,Canvas Activity_007,Email Reminder,Medium,No,5
23939903,Student_0414,Module5,Programme3,Year1,Week8,Mon,,,0.75,0.36,Canvas Activity_007,Email Reminder,Medium,No,7
23128391,Student_0415,Module1,Programme1,Year2,Week9,Wed,,,1.0,0.93,None,None,Low,Yes,5
23439430,Student_0416,Module3,Programme2,Year1,Week7,Tue,,,1.0,0.63,None,None,Low,Yes,6
24017026,Student_0417,Module2,Programme1,Year3,Week11,Mon,,,0.9,0.42,Canvas Activity_007,Tutoring,Medium,Yes,5
24659280,Student_0418,Module3,Programme2,Year1,Week1,Wed,,,0.69,0.81,Class Attendance_007,Counselling,High,No,6
24905279,Student_0419,Module4,Programme2,Year1,Week3,Fri,,,1.0,0.92,None,None,Low,No,6
24879072,Student_0420,Module4,Programme2,Year1,Week8,Wed,,,0.74,0.76,None,None,Low,Yes,6
23256687,Student_0421,Module2,Programme1,Year3,Week3,Tue,,,0.77,0.7,None,None,Low,No,5
24774027,Student_0422,Module1,Programme1,Year2,Week8,Thu,,,0.87,0.75,None,None,Low,Yes,5
23107450,Student_0423,Module1,Programme1,Year2,Week1,Wed,,,1.0,0.71,None,None,Low,No,5
23171890,Student_0424,Module5,Programme3,Year1,Week5,Thu,Assignment1,28.3,0.95,0.54,Assessment Failure_007,Counselling,High,Yes,7
23438741,Student_0425,Module5,Programme3,Year1,Week4,Fri,,,0.88,0.65,None,None,Low,Yes,7
23281974,Student_0426,Module3,Programme2,Year1,Week5,Wed,Assignment1,42.2,0.89,0.87,Assessment Failure_007,Tutoring,High,No,6
24983509,Student_0427,Module4,Programme2,Year1,Week8,Mon,,,0.83,0.84,None,None,Low,Yes,6
24448685,Student_0428,Module4,Programme2,Year1,Week10,Thu,Test1,64.9,0.9,0.81,None,None,Low,Yes,6
23116381,Student_0429,Module1,Programme1,Year2,Week4,Fri,,,0.44,0.6,Class Attendance_007,Mentorship,Medium,No,5
24521701,Student_0430,Module5,Programme3,Year1,Week11,Mon,,,0.78,0.75,None,None,Low,No,7
24620197,Student_0431,Module3,Programme2,Year1,Week4,Mon,,,0.86,0.39,Canvas Activity_007,Email Reminder,Medium,No,6
23134508,Student_0432,Module3,Programme2,Year1,Week3,Mon,,,0.65,0.81,Class Attendance_007,Counselling,High,No,6
24778226,Student_0433,Module3,Programme2,Year1,Week7,Mon,Assignment1,74.1,0.88,1.0,None,None,Low,Yes,6
24911221,Student_0434,Module1,Programme1,Year2,Week3,Wed,Test2,65.0,0.79,0.51,Canvas Activity_007,Escalation,High,Yes,5
24447687,Student_0435,Module1,Programme1,Year2,Week12,Wed,Assignment2,83.3,1.0,0.67,None,None,Low,Yes,5
24199386,Student_0436,Module4,Programme2,Year1,Week3,Wed,,,1.0,0.84,None,None,Low,Yes,6
24341466,Student_0437,Module1,Programme1,Year2,Week11,Fri,Assignment1,44.6,0.75,1.0,Assessment Failure_007,Tutoring,High,No,5
24622241,Student_0438,Module4,Programme2,Year1,Week10,Fri,,,0.8,0.7,None,None,Low,Yes,6
23840477,Student_0439,Module2,Programme1,Year3,Week5,Fri,Assignment2,63.9,0.81,0.66,None,None,Low,Yes,5
23360032,Student_0440,Module3,Programme2,Year1,Week5,Tue,Test2,20.3,0.75,0.43,Assessment Failure_007,Counselling,High,Yes,6
24046811,Student_0441,Module2,Programme1,Year3,Week6,Fri,Assignment1,92.1,0.85,0.8,None,None,Low,Yes,5
24418175,Student_0442,Module3,Programme2,Year1,Week8,Wed,,,0.71,1.0,None,None,Low,Yes,6
24709536,Student_0443,Module4,Programme2,Year1,Week10,Wed,,,0.65,0.83,Class Attendance_007,Mentorship,Medium,Yes,6
24798596,Student_0444,Module2,Programme1,Year3,Week6,Tue,Assignment2,33.5,0.91,0.78,Assessment Failure_007,Counselling,High,No,5
23879611,Student_0445,Module3,Programme2,Year1,Week12,Tue,,,0.91,0.84,None,None,Low,Yes,6
24220412,Student_0446,Module3,Programme2,Year1,Week1,Fri,Test2,100.0,0.7,0.78,Class Attendance_007,Tutoring,High,No,6
23729903,Student_0447,Module4,Programme2,Year1,Week8,Thu,,,0.95,0.63,None,None,Low,Yes,6
23045714,Student_0448,Module5,Programme3,Year1,Week8,Tue,,,0.73,0.93,None,None,Low,Yes,7
23974339,Student_0449,Module4,Programme2,Year1,Week9,Mon,Assignment2,62.0,0.86,0.82,None,None,Low,Yes,6
24675810,Student_0450,Module2,Programme1,Year3,Week9,Wed,,,0.94,0.78,None,None,Low,Yes,5
24944624,Student_0451,Module1,Programme1,Year2,Week2,Mon,Assignment2,70.9,0.81,0.6,None,None,Low,Yes,5
23630271,Student_0452,Module2,Programme1,Year3,Week2,Wed,,,0.89,1.0,None,None,Low,No,5
24515536,Student_0453,Module3,Programme2,Year1,Week3,Wed,Assignment1,51.2,0.74,0.9,None,None,Low,No,6
24760427,Student_0454,Module1,Programme1,Year2,Week1,Tue,,,0.79,0.68,None,None,Low,No,5
